Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927714.0506537,54,1669927714,50409317,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0605602,55,1669927714,60380697,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0708706,56,1669927714,70474863,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0806313,57,1669927714,80377340,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0909867,58,1669927714,90503692,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.100894,59,1669927714,100481271,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1106505,60,1669927714,110396385,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1208282,61,1669927714,120443105,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1308782,62,1669927714,130464792,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1409626,63,1669927714,140588521,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1505578,64,1669927714,150399684,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.160666,65,1669927714,160428047,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1706288,66,1669927714,170422077,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.1813028,67,1669927714,180681228,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
